"mS","sin","lh","A","muHsq","muSsq"
1,0.02,0.15074228954698016,1.3466671132659116,8840.418297074573,7.310388242917926
1,0.04,0.15058745002487808,2.6917070761274586,8831.042504975494,26.241164691047416
1,0.06,0.15032937838775018,4.03348966870641,8815.41578773082,57.791760366833984
1,0.08,0.14996806604180193,5.3703781304965315,8793.537568839223,101.96122785401023
1,0.1,0.14950350110639046,6.70072581537579,8765.40706481504,158.7482402691448
1,0.12000000000000001,0.1489356685234768,8.022872763149303,8731.023295975745,228.15108939148632
1,0.13999999999999999,0.1482645501787769,9.335142158488562,8690.385097129687,310.16768283548134
1,0.16,0.14749012503806688,10.63583664584268,8643.491128718602,404.79554017999453
1,0.18,0.14661236929969965,11.923234466012358,8590.33988864902,512.0317879870063
1,0.19999999999999998,0.14563125656367865,13.19558537648823,8530.929724924574,631.8731536558136
1,0.22,0.14454675801739172,14.45110631322163,8465.258849143724,764.3159580688014
1,0.24,0.1433588426379736,15.687976746052735,8393.32535089775,909.3561069928127
1,0.26,0.14206747741123804,16.90433367336552,8315.12721309193,1066.9890812066453
1,0.28,0.1406726275670537,18.098266193414577,8230.662328196056,1237.2099253305582
1,0.30000000000000004,0.13917425683107035,19.267809579855587,8139.928515433826,1420.013235338228
2,0.02,0.15074229924391389,1.3464090723552569,8840.41887766949,10.309169948236445
2,0.04,0.1505874888711192,2.6911912985619946,8831.044833613487,29.23629156749039
2,0.06,0.1503294659542633,4.032716765745582,8815.421041687348,60.780795936057416
2,0.08,0.14996822199080165,5.3693490240055,8793.546932507666,104.94173575559259
2,0.1,0.14950374516362047,6.699441741196211,8765.421727482835,161.71778434053115
2,0.12000000000000001,0.14893602046419185,8.021335274739931,8731.044450713816,231.1072337599639
2,0.13999999999999999,0.14826502982031198,9.333353131088773,8690.413940192115,313.1079920210416
2,0.16,0.14749075223532848,10.633798281259534,8643.528859171238,407.71757920899125
2,0.18,0.14661316394206153,11.920949298093376,8590.387708110107,514.9331225168252
2,0.19999999999999998,0.14563223857261398,13.19305627733418,8530.98883736642,634.7513501109299
2,0.22,0.14454794734449128,14.448336500194861,8465.33046072837,767.1685837887039
2,0.24,0.14336025926317142,15.684969789642091,8393.410669832789,912.1807303923375
2,0.26,0.14206914134110324,16.901093505976515,8315.22744949435,1069.7832719492967
2,0.28,0.14067455883309035,18.094797119164273,8230.778693960468,1239.9712545154312
2,0.30000000000000004,0.13917647548796788,19.26411628546408,8140.062224100689,1422.7392757011637
3,0.02,0.15074231546759162,1.3459790045780853,8840.419850199818,15.307139465736736
3,0.04,0.1505875538013076,2.6903316719230514,8831.048728677333,34.22816974063236
3,0.06,0.1503296121868581,4.03142860051779,8815.429819509489,65.76252201210588
3,0.08,0.14996848225929607,5.367633857201832,8793.562564386408,109.90924918252192
3,0.1,0.14950415231754574,6.6973016326400625,8765.44619367712,166.66702489457526
3,0.12000000000000001,0.14893660744535,8.018772813436463,8731.079738494182,236.03414169831473
3,0.13999999999999999,0.14826582964684118,9.330371442282495,8690.462042572231,318.00850825369577
3,0.16,0.14749179799165754,10.630401034452108,8643.59177410675,412.5876454885139
3,0.18,0.14661448877225958,11.917140716176355,8590.46743796254,519.7686816462816
3,0.19999999999999998,0.14563387567559813,13.188841146945796,8531.087388513968,639.5483461706646
3,0.22,0.14454992997024063,14.443720183399796,8465.449843258204,771.9229623828069
3,0.24,0.1433626207094711,15.679958237038086,8393.552897279544,916.8884389157347
3,0.26,0.14207191495053603,16.895693271343344,8315.394538602744,1074.440259876452
3,0.28,0.1406777779900911,18.089015375787454,8230.972664458279,1244.573473711689
3,0.30000000000000004,0.13918017361582577,19.257960844286174,8140.285098472339,1427.282680757776
4,0.02,0.1507423382410127,1.3453769100787192,8840.421216573031,22.30429680725496
4,0.04,0.15058764491882787,2.689128197591895,8831.054198344427,41.216799263656114
4,0.06,0.15032981730628972,4.029625177719804,8815.442138028453,72.73693873864435
4,0.08,0.14996884717947845,5.365232639881873,8793.584489276798,116.86376843716255
4,0.1,0.14950472298734288,6.694305505579209,8765.480494317913,173.59596246733076
4,0.12000000000000001,0.14893742994797401,8.015185401553914,8731.12919454414,242.931814050495
4,0.13999999999999999,0.14826695018080857,9.32619712085241,8690.529442362571,324.8692327564301
4,0.16,0.14749326285546072,10.62564494051829,8643.679913403756,419.4057406884208
4,0.18,0.14661634435312976,11.911808761430702,8590.579119071219,526.5384675569584
4,0.19999999999999998,0.1456361684412249,13.182940032270027,8531.225419619135,646.2641445904546
4,0.22,0.14455270646236248,14.43725741523544,8465.617037915436,778.5790972399402
4,0.24,0.14336592753855806,15.672942145742729,8393.752073995181,923.4792366421664
4,0.26,0.1420757987910673,16.888133031701294,8315.628520465778,1080.960049811825
4,0.28,0.1406822855760957,18.0809210298629,8231.24427879939,1251.0165885388942
4,0.30000000000000004,0.13918535173645652,19.249343326834378,8140.59717653151,1433.643456971594
5,0.02,0.15074236757915704,1.3446027889528187,8840.42297803932,31.30064198917587
5,0.04,0.15058776229008905,2.6875808764332265,8831.061248043306,50.20218020547426
5,0.06,0.15033008147287427,4.027306500652044,8815.458009896378,81.70404628719216
5,0.08,0.149969317029066,5.362145380027733,8793.61272849662,125.80529386874109
5,0.1,0.14950545756588945,6.690453374620339,8765.524659012151,182.50459768143583
5,0.12000000000000001,0.14893848846315866,8.010573061586335,8731.192855431873,251.80025181737253
5,0.13999999999999999,0.14826839199032446,9.320830197822692,8690.616181535617,333.690167013946
5,0.16,0.14749514745168896,10.61953003921521,8643.793322995569,428.1718668797095
5,0.18,0.14661873134913453,11.904953482265832,8590.722800108162,535.2424830041318
5,0.19999999999999998,0.14563911755919057,13.175352990109948,8531.402981094525,654.898748903107
5,0.22,0.14455627752419073,14.428948260526187,8465.832096046617,787.1369927590343
5,0.24,0.14337018045800626,15.663921588153201,8394.008251609073,931.9531289207098
5,0.26,0.14208079356686232,16.878412866516726,8315.92944646719,1089.3426481340841
5,0.28,0.1406880822855775,18.070514167378963,8231.593587687265,1259.3006064800313
5,0.30000000000000004,0.1391920105294372,19.238263825034505,8140.998507940461,1441.821612999679
6,0.02,0.15074240349306936,1.343656641272855,8840.425135521782,42.296175032489586
6,0.04,0.15058790596208413,2.6856897090624727,8831.069881676498,61.18431265247728
6,0.06,0.15033040480190424,4.024472571650074,8815.477444463237,92.66384486263178
6,0.08,0.1499698920222141,5.358372083672681,8793.647298942707,136.73382587481075
6,0.1,0.14950635638188037,6.6857452517791955,8765.578713124713,193.39293122830077
6,0.12000000000000001,0.14893978343304856,8.004935813529219,8731.27075473304,262.6394561065262
6,0.13999999999999999,0.1482701556187508,9.314270702595849,8690.722300889083,344.4713126831439
6,0.16,0.14749745240767714,10.612056370199966,8643.932049613386,438.88602640424324
6,0.18,0.146621650453366,11.896574928967032,8590.8985324185,545.8807311477459
6,0.19999999999999998,0.14564272377122583,13.166080081400539,8531.620127680104,665.4521632147391
6,0.22,0.1445606439308846,14.41879279062657,8466.09507471493,797.5966541143625
6,0.24,0.1433753802632571,15.652896645634405,8394.321488587215,942.3101221092306
6,0.26,0.14208690008243113,16.866532866625946,8316.297375693339,1099.5880624933782
6,0.28,0.14069516892261405,18.057794888007315,8232.020650168395,1269.4255365793213
6,0.30000000000000004,0.1392001507903679,19.22472244668126,8141.489151147584,1451.817159374971
7,0.02,0.1507424459913745,1.342538467097116,8840.427689743148,55.290895962810794
7,0.04,0.1505880759705915,2.6834546959589525,8831.08010223855,74.16319670915628
7,0.06,0.15033078737980046,4.021123392470699,8815.5004488689,105.61633470727868
7,0.08,0.14997057232291958,5.353912755399321,8793.688213864256,149.64936490974338
7,0.1,0.14950741969890602,6.680181146587027,8765.642677477383,206.2609638739515
7,0.12000000000000001,0.14894131523154153,7.998273674127678,8731.36292144096,275.4494281226295
7,0.13999999999999999,0.14827224154929847,9.306518661123258,8690.847837366497,357.2126715554676
7,0.16,0.14750017830644865,10.603223970132648,8644.096137366272,451.54822180028344
7,0.18,0.14662510233441464,11.886673149875751,8591.106366197157,558.4532154367928
7,0.19999999999999998,0.14564698781540583,13.15512136666282,8531.876914479193,677.9243920472408
7,0.22,0.14456580647391354,14.406791078347489,8466.406032775838,809.9580870576931
7,0.24,0.14338152778406124,15.63986740309381,8394.691846463924,954.5502233392203
7,0.26,0.1420941191921059,16.85249312860594,8316.73237139247,1111.6963015425388
7,0.28,0.1407035463539448,18.042763299386692,8232.525530350977,1281.3913891436482
7,0.30000000000000004,0.13920977338771756,19.20871930972571,8142.069170374065,1463.630108181723
8,0.02,0.1507424950810308,1.3412482664741239,8840.430641288933,70.284804810389
8,0.04,0.15058827234407304,2.68087583751568,8831.091912124752,89.13883249833525
8,0.06,0.1503312292740699,4.017258964511536,8815.527028761839,120.56151610293318
8,0.08,0.14997135805914114,5.348767398802043,8793.7354837978,164.55191149152046
8,0.1,0.14950864772685757,6.673761066619106,8765.716569009013,221.1086964703657
8,0.12000000000000001,0.14894308416644153,7.990586657109932,8731.469379927401,290.2301691769246
8,0.13999999999999999,0.14827465019497896,9.29757409549795,8690.992823152708,371.914245553729
8,0.16,0.14750332566489474,10.593032871419988,8644.285626029623,466.15845577530695
8,0.18,0.1466290876050938,11.875248189227031,8591.346348145747,572.959939548957
8,0.19999999999999998,0.14565191038831396,13.142476902989516,8532.173394189287,692.315440238816
8,0.22,0.14457176591936932,14.392943194207518,8466.765027869516,824.221297776922
8,0.24,0.14338862384114048,15.624833944641003,8395.119386745075,968.6734403321818
8,0.26,0.14210245175669103,16.83629374998563,8317.234497895948,1125.6673747126083
8,0.28,0.1407132154667854,18.025419512018246,8233.108294422394,1295.198175479757
8,0.30000000000000004,0.1392208792225687,19.19025453697026,8142.738632778048,1477.2604727575344
9,0.02,0.15074255076776863,1.3397860394451926,8840.433990644122,87.27790161011534
9,0.04,0.15058849510577857,2.677953134064855,8831.105313302527,106.11122016127557
9,0.06,0.150331730539075,4.012879288929818,8815.557188735173,137.49938937186445
9,0.08,0.14997224933303374,5.342936016799663,8793.78911728552,181.4414662059055
9,0.1,0.14951004063418372,6.666485018004935,8765.800401574525,237.93612996512118
9,0.12000000000000001,0.14894509048927057,7.9818747737304125,8731.590150510303,306.9816807012885
9,0.13999999999999999,0.14827738190199374,9.287437024261878,8691.157285753508,388.576036744757
9,0.16,0.1475068949286827,10.581483102025958,8644.500550518487,482.7167312080233
9,0.18,0.14663360680871196,11.862300086283591,8591.618520348695,589.4009073719302
9,0.19999999999999998,0.1456574921237899,13.128146742422546,8532.509615470042,708.6253128957293
9,0.22,0.14457852298088933,14.377249204058645,8467.17211440398,840.386292811652
9,0.24,0.1433966692150926,15.607796350524536,8395.604168632803,984.6797812749536
9,0.26,0.14211189860999618,16.81793482558961,8317.803818198368,1141.5012920460892
9,0.28,0.14072417713433466,18.00576363512522,8233.769008175183,1310.8459076854067
9,0.30000000000000004,0.13923346919417243,19.16932825155407,8143.497605998976,1492.7082674437374
10,0.02,0.15074261305637093,1.3381517860460577,8840.43773821648,106.27018640152733
10,0.04,0.15058874427502034,2.6746865858927746,8831.12030741685,125.08035985773266
10,0.06,0.15033229121950945,4.007984366709759,8815.590932598607,156.4299548773061
10,0.08,0.1499732462277616,5.336418611831613,8793.8491213735,200.318029708834
10,0.1,0.14951159855773313,6.658353005813264,8765.894186622018,256.74326540810733
10,0.12000000000000001,0.14894733440598018,7.972138033309661,8731.725250144647,325.7039642607516
