0.002,0.00001,0.1507939021364844,0.000673512144049775,8843.543520034493,5.577725498747602e-6,1.0389941013125494e8,9.195361002893871e7,8.2367175819163e-38,1.9134221360695078e-14
0.002,0.000015000000000000002,0.1507939021203545,0.0010102682160111251,8843.54351905781,7.54983956885805e-6,1.1530296301897e8,6.948302446056175e7,1.1133149691706807e-37,2.5862747937839197e-14
0.002,0.00002,0.1507939020977726,0.0013470242878962306,8843.54351769044,0.00001031079926699811,1.126917929183935e8,5.245660047873783e7,1.5188153030263586e-37,3.5282681395205504e-14
0.002,0.000025000000000000005,0.15079390206873877,0.0016837803596796764,8843.543515932399,0.000013860604593185923,1.048673359257711e8,4.052581464727187e7,2.0401731635448126e-37,4.7394031114328103e-14
0.002,0.000030000000000000004,0.15079390203325282,0.002020536431336047,8843.54351378365,0.000018199255547391404,9.589085155390474e7,3.2260014785431147e7,2.6773881469390216e-37,6.219678771690257e-14
0.002,0.000035000000000000004,0.15079390199131526,0.0023572925028399285,8843.543511244285,0.000023326752129614154,8.731380057847124e7,2.6452970664308548e7,3.4304603878038996e-37,7.969095433185642e-14
0.002,0.00004,0.15079390194292558,0.0026940485741659055,8843.543508314217,0.000029243094339844453,7.96196781587127e7,2.2281499294998884e7,4.299389886138736e-37,9.987653096181365e-14
0.002,0.000045,0.1507939018880839,0.003030804645288563,8843.54350499347,0.00003594828217807112,7.287900649473907e7,1.9212842480599165e7,5.2841766419427175e-37,1.2275351760980225e-13
0.002,0.00005,0.1507939018267902,0.0033675607161824856,8843.543501282038,0.000043442315644281466,6.70175517339298e7,1.6903630056675196e7,6.384820655214915e-37,1.4832191427925367e-13
0.002,0.000055,0.15079390175904478,0.00370431678682226,8843.54349717997,0.00005172519473846912,6.192140650749226e7,1.5129495099333763e7,7.60132206054981e-37,1.7658172410071028e-13
0.002,0.00006,0.15079390168484721,0.00404107285718247,8843.543492687197,0.00006079691946061061,5.747620425486924e7,1.3740846251836538e7,8.93368072335074e-37,2.0753294395170382e-13
0.002,0.00006500000000000001,0.15079390160419776,0.0043778289272377,8843.543487803754,0.0000706574898106888,5.3580148382983185e7,1.2635743929356098e7,1.0381896643616462e-36,2.411755738368773e-13
0.002,0.00007000000000000001,0.15079390151709637,0.004714584996962538,8843.543482529647,0.00008130690578868502,5.0146875995621406e7,1.1743209499016762e7,1.1945969821345612e-36,2.775096137612768e-13
0.002,0.00007500000000000001,0.15079390142354282,0.0050513410663315635,8843.543476864823,0.00009274516739457133,4.710459977733144e7,1.1012805244349241e7,1.3625900121941204e-36,3.165350606036456e-13
0.002,0.00008,0.15079390132353737,0.005388097135319367,8843.543470809338,0.00010497227462834167,4.439410812901694e7,1.0408006232504845e7,1.5421687814592688e-36,3.5825192062325133e-13
0.002,0.000085,0.15079390121708033,0.005724853203900533,8843.543464363238,0.00011798822748996519,4.196663104083723e7,9.90189915995574e6,1.733333276470287e-36,4.026601906996448e-13
0.002,0.00009,0.1507939011041709,0.006061609272049644,8843.543457526397,0.00013179302597941716,3.978191469345027e7,9.474335008430958e6,1.936083497226994e-36,4.497598708394872e-13
0.002,0.000095,0.15079390098480955,0.006398365339741285,8843.543450298872,0.00014638667009667932,3.7806604981243625e7,9.110007857286215e6,2.1504194571887518e-36,4.995509641765505e-13
0.002,0.0001,0.1507939008589965,0.006735121406950044,8843.543442680722,0.00016176915984170853,3.601293111141675e7,8.797134987220764e6,2.3763411294362548e-36,5.520334644648889e-13
0.002,0.000105,0.15079390072673124,0.007071877473650503,8843.543434671856,0.00017794049521449123,3.437764599180378e7,8.526534535676956e6,2.6138485408883953e-36,6.072073779657895e-13
0.002,0.00011,0.15079390058801423,0.00740863353981725,8843.54342627235,0.00019490067621498122,3.2881183502429195e7,8.290970885227203e6,2.8629416646258463e-36,6.650726984341136e-13
0.002,0.000115,0.1507939004428449,0.0077453896054248675,8843.543417482111,0.00021264970284315423,3.150698370566088e7,8.084683061008453e6,3.123620514107926e-36,7.25629429005249e-13
0.002,0.00012,0.15079390029122403,0.008082145670447943,8843.543408301262,0.0002311875750989923,3.024095560567461e7,7.903040440607071e6,3.395885116253492e-36,7.888775759416924e-13
0.002,0.000125,0.15079390013315097,0.00841890173486106,8843.543398729696,0.0002505142929824292,2.90710470475804e7,7.7422881942029e6,3.679735417224081e-36,8.54817126746103e-13
0.002,0.00013000000000000002,0.150793899968626,0.008755657798638803,8843.543388767466,0.0002706298564934517,2.7986896418221828e7,7.599356740956306e6,3.975171457398081e-36,9.234480908084932e-13
0.002,0.000135,0.1507938997976492,0.009092413861755756,8843.543378414577,0.0002915342656320141,2.6979553741650976e7,7.4717177250881195e6,4.282193223315666e-36,9.947704650124505e-13
0.002,0.00014000000000000001,0.1507938996202204,0.009429169924186511,8843.543367671016,0.0003132275203980767,2.604125238016899e7,7.357273893903255e6,4.600800714976544e-36,1.068784249368673e-12
0.002,0.000145,0.15079389943633936,0.009765925985905642,8843.54335653673,0.00033570962079160617,2.5165223136037223e7,7.254274162559986e6,4.9309939458399686e-36,1.14548944701497e-12
0.002,0.00015000000000000001,0.1507938992460067,0.010102682046887745,8843.54334501181,0.0003589805668125369,2.434554195874829e7,7.161247519265652e6,5.272772875526976e-36,1.224886048582726e-12
0.002,0.000155,0.15079389904922189,0.010439438107107398,8843.543333096202,0.00038304035846085585,2.3577003273818772e7,7.076951097914696e6,5.626137557875451e-36,1.3069740665906795e-12
